Date,Country,Camp,School,Subject
16/09/2018,South Sudan,Ajuong Thok,Napata,Languages
18/09/2018,South Sudan,Ajuong Thok,Napata,Sciences
20/09/2018,South Sudan,Ajuong Thok,Napata,Languages
23/09/2018,South Sudan,Ajuong Thok,Napata,Mathematics
24/09/2018,South Sudan,Ajuong Thok,Napata,Languages
25/09/2018,South Sudan,Ajuong Thok,Napata,Sciences
25/09/2018,South Sudan,Ajuong Thok,Napata,Mathematics
26/09/2018,South Sudan,Ajuong Thok,Napata,Sciences
26/09/2018,South Sudan,Ajuong Thok,Napata,Mathematics
26/09/2018,South Sudan,Ajuong Thok,Napata,Sciences
26/09/2018,South Sudan,Ajuong Thok,Napata,Mathematics
26/09/2018,South Sudan,Ajuong Thok,Napata,Sciences
27/09/2018,South Sudan,Ajuong Thok,Napata,Mathematics
27/09/2018,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
27/09/2018,South Sudan,Ajuong Thok,Napata,Sciences
27/09/2018,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
26/09/2018,South Sudan,Ajuong Thok,Napata,Mathematics
27/09/2018,South Sudan,Ajuong Thok,Napata,Languages
27/09/2018,South Sudan,Ajuong Thok,Napata,Mathematics
25/09/2018,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
08/10/2018,South Sudan,Ajuong Thok,Napata,Sciences
08/10/2018,South Sudan,Ajuong Thok,Napata,Sciences
08/10/2018,South Sudan,Ajuong Thok,Napata,Sciences
08/10/2018,South Sudan,Ajuong Thok,Napata,Languages
09/10/2018,South Sudan,Ajuong Thok,Napata,Sciences
09/10/2018,South Sudan,Ajuong Thok,Napata,Languages
09/10/2018,South Sudan,Ajuong Thok,Napata,Mathematics
09/10/2018,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
09/10/2018,South Sudan,Ajuong Thok,Napata,Languages
09/10/2018,South Sudan,Ajuong Thok,Napata,Mathematics
10/10/2018,South Sudan,Ajuong Thok,Napata,Mathematics
14/10/2018,South Sudan,Ajuong Thok,Napata,Sciences
15/10/2018,South Sudan,Ajuong Thok,Napata,Mathematics
17/10/2018,South Sudan,Ajuong Thok,Napata,Mathematics
18/10/2018,South Sudan,Ajuong Thok,Napata,Mathematics
18/10/2018,South Sudan,Ajuong Thok,Napata,Languages
16/10/2018,South Sudan,Ajuong Thok,Napata,Mathematics
14/10/2018,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
10/10/2018,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
10/10/2018,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
08/10/2018,South Sudan,Ajuong Thok,Napata,Mathematics
10/10/2018,South Sudan,Ajuong Thok,Napata,Sciences
08/10/2018,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
18/10/2018,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
21/10/2018,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
23/10/2018,South Sudan,Ajuong Thok,Napata,Mathematics
24/10/2018,South Sudan,Ajuong Thok,Napata,Languages
24/10/2018,South Sudan,Ajuong Thok,Napata,Languages
28/10/2018,South Sudan,Ajuong Thok,Napata,Sciences
28/10/2018,South Sudan,Ajuong Thok,Napata,Sciences
25/10/2018,South Sudan,Ajuong Thok,Napata,Sciences
25/10/2018,South Sudan,Ajuong Thok,Napata,Sciences
29/10/2018,South Sudan,Ajuong Thok,Napata,Languages
22/10/2018,South Sudan,Ajuong Thok,Napata,Sciences
21/10/2018,South Sudan,Ajuong Thok,Napata,Languages
21/10/2018,South Sudan,Ajuong Thok,Napata,Mathematics
21/10/2018,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
04/11/2018,South Sudan,Ajuong Thok,Napata,Mathematics
05/11/2018,South Sudan,Ajuong Thok,Napata,Languages
06/11/2018,South Sudan,Ajuong Thok,Napata,Languages
07/11/2018,South Sudan,Ajuong Thok,Napata,Languages
07/11/2018,South Sudan,Ajuong Thok,Napata,Sciences
11/11/2018,South Sudan,Ajuong Thok,Napata,Languages
11/11/2018,South Sudan,Ajuong Thok,Napata,Sciences
12/11/2018,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
12/11/2018,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
03/02/2019,South Sudan,Ajuong Thok,Napata,Mathematics
03/02/2019,South Sudan,Ajuong Thok,Napata,Sciences
03/02/2019,South Sudan,Ajuong Thok,Napata,Languages
04/02/2019,South Sudan,Ajuong Thok,Napata,Sciences
04/02/2019,South Sudan,Ajuong Thok,Napata,Languages
05/02/2019,South Sudan,Ajuong Thok,Napata,Languages
05/02/2019,South Sudan,Ajuong Thok,Napata,Mathematics
06/02/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
06/02/2019,South Sudan,Ajuong Thok,Napata,Mathematics
07/02/2019,South Sudan,Ajuong Thok,Napata,Mathematics
07/02/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
07/02/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
10/02/2019,South Sudan,Ajuong Thok,Napata,Sciences
10/02/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
11/02/2019,South Sudan,Ajuong Thok,Napata,Languages
12/02/2019,South Sudan,Ajuong Thok,Napata,Sciences
12/02/2019,South Sudan,Ajuong Thok,Napata,Sciences
11/02/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
11/02/2019,South Sudan,Ajuong Thok,Napata,Mathematics
13/02/2019,South Sudan,Ajuong Thok,Napata,Sciences
13/02/2019,South Sudan,Ajuong Thok,Napata,Mathematics
14/02/2019,South Sudan,Ajuong Thok,Napata,Languages
14/02/2019,South Sudan,Ajuong Thok,Napata,Languages
14/02/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
14/02/2019,South Sudan,Ajuong Thok,Napata,Languages
13/02/2019,South Sudan,Ajuong Thok,Napata,Sciences
13/02/2019,South Sudan,Ajuong Thok,Napata,Languages
05/02/2019,South Sudan,Ajuong Thok,Napata,Mathematics
04/02/2019,South Sudan,Ajuong Thok,Napata,Sciences
04/02/2019,South Sudan,Ajuong Thok,Napata,Languages
17/02/2019,South Sudan,Ajuong Thok,Napata,Sciences
17/02/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
17/02/2019,South Sudan,Ajuong Thok,Napata,Mathematics
18/02/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
18/02/2019,South Sudan,Ajuong Thok,Napata,Sciences
18/02/2019,South Sudan,Ajuong Thok,Napata,Languages
19/02/2019,South Sudan,Ajuong Thok,Napata,Sciences
19/02/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
20/02/2019,South Sudan,Ajuong Thok,Napata,Sciences
20/02/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
20/02/2019,South Sudan,Ajuong Thok,Napata,Sciences
21/02/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
21/02/2019,South Sudan,Ajuong Thok,Napata,Sciences
21/02/2019,South Sudan,Ajuong Thok,Napata,Languages
24/02/2019,South Sudan,Ajuong Thok,Napata,Sciences
24/02/2019,South Sudan,Ajuong Thok,Napata,Languages
25/02/2019,South Sudan,Ajuong Thok,Napata,Languages
25/02/2019,South Sudan,Ajuong Thok,Napata,Languages
25/02/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
25/02/2019,South Sudan,Ajuong Thok,Napata,Sciences
24/02/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
26/02/2019,South Sudan,Ajuong Thok,Napata,Languages
26/02/2019,South Sudan,Ajuong Thok,Napata,Languages
26/02/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
27/02/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
27/02/2019,South Sudan,Ajuong Thok,Napata,Languages
27/02/2019,South Sudan,Ajuong Thok,Napata,Mathematics
26/02/2019,South Sudan,Ajuong Thok,Napata,Sciences
27/02/2019,South Sudan,Ajuong Thok,Napata,Languages
28/02/2019,South Sudan,Ajuong Thok,Napata,Languages
28/02/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
28/02/2019,South Sudan,Ajuong Thok,Napata,Sciences
28/02/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
28/02/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
28/02/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
04/03/2019,South Sudan,Ajuong Thok,Napata,Languages
03/03/2019,South Sudan,Ajuong Thok,Napata,Sciences
03/03/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
03/03/2019,South Sudan,Ajuong Thok,Napata,Languages
03/03/2019,South Sudan,Ajuong Thok,Napata,Languages
03/03/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
04/03/2019,South Sudan,Ajuong Thok,Napata,Languages
04/03/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
04/03/2019,South Sudan,Ajuong Thok,Napata,Languages
04/03/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
05/03/2019,South Sudan,Ajuong Thok,Napata,Languages
05/03/2019,South Sudan,Ajuong Thok,Napata,Languages
05/03/2019,South Sudan,Ajuong Thok,Napata,Sciences
05/03/2019,South Sudan,Ajuong Thok,Napata,Mathematics
06/03/2019,South Sudan,Ajuong Thok,Napata,Sciences
06/03/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
06/03/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
07/03/2019,South Sudan,Ajuong Thok,Napata,Sciences
07/03/2019,South Sudan,Ajuong Thok,Napata,Languages
10/03/2019,South Sudan,Ajuong Thok,Napata,Languages
10/03/2019,South Sudan,Ajuong Thok,Napata,Sciences
11/03/2019,South Sudan,Ajuong Thok,Napata,Sciences
11/03/2019,South Sudan,Ajuong Thok,Napata,Mathematics
11/03/2019,South Sudan,Ajuong Thok,Napata,Languages
11/03/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
12/03/2019,South Sudan,Ajuong Thok,Napata,Sciences
12/03/2019,South Sudan,Ajuong Thok,Napata,Languages
12/03/2019,South Sudan,Ajuong Thok,Napata,Sciences
12/03/2019,South Sudan,Ajuong Thok,Napata,Mathematics
13/03/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
13/03/2019,South Sudan,Ajuong Thok,Napata,Sciences
14/03/2019,South Sudan,Ajuong Thok,Napata,Languages
14/03/2019,South Sudan,Ajuong Thok,Napata,Sciences
17/03/2019,South Sudan,Ajuong Thok,Napata,Sciences
18/03/2019,South Sudan,Ajuong Thok,Napata,Languages
19/03/2019,South Sudan,Ajuong Thok,Napata,Mathematics
20/03/2019,South Sudan,Ajuong Thok,Napata,Languages
20/03/2019,South Sudan,Ajuong Thok,Napata,Mathematics
21/03/2019,South Sudan,Ajuong Thok,Napata,Sciences
21/03/2019,South Sudan,Ajuong Thok,Napata,Languages
21/03/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
24/04/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
25/03/2019,South Sudan,Ajuong Thok,Napata,Sciences
25/03/2019,South Sudan,Ajuong Thok,Napata,Languages
26/03/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
26/03/2019,South Sudan,Ajuong Thok,Napata,Sciences
26/03/2019,South Sudan,Ajuong Thok,Napata,Languages
26/03/2019,South Sudan,Ajuong Thok,Napata,Languages
27/03/2019,South Sudan,Ajuong Thok,Napata,Sciences
27/03/2019,South Sudan,Ajuong Thok,Napata,Sciences
28/03/2019,South Sudan,Ajuong Thok,Napata,Languages
28/03/2019,South Sudan,Ajuong Thok,Napata,Languages
28/03/2019,South Sudan,Ajuong Thok,Napata,Sciences
28/03/2019,South Sudan,Ajuong Thok,Napata,Mathematics
20/03/2019,South Sudan,Ajuong Thok,Napata,Sciences
19/03/2019,South Sudan,Ajuong Thok,Napata,Languages
18/03/2019,South Sudan,Ajuong Thok,Napata,Languages
18/03/2019,South Sudan,Ajuong Thok,Napata,Languages
17/03/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
14/03/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
31/03/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
31/03/2019,South Sudan,Ajuong Thok,Napata,Sciences
01/04/2019,South Sudan,Ajuong Thok,Napata,Languages
12/03/2019,South Sudan,Ajuong Thok,Napata,Mathematics
11/03/2019,South Sudan,Ajuong Thok,Napata,Languages
02/04/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
02/04/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
02/04/2019,South Sudan,Ajuong Thok,Napata,Mathematics
10/03/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
03/04/2019,South Sudan,Ajuong Thok,Napata,Mathematics
04/04/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
07/04/2019,South Sudan,Ajuong Thok,Napata,Languages
07/04/2019,South Sudan,Ajuong Thok,Napata,Sciences
08/04/2019,South Sudan,Ajuong Thok,Napata,Mathematics
08/04/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
08/04/2019,South Sudan,Ajuong Thok,Napata,Sciences
09/04/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
09/04/2019,South Sudan,Ajuong Thok,Napata,Mathematics
10/04/2019,South Sudan,Ajuong Thok,Napata,Sciences
10/04/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
11/04/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
14/04/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
16/04/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
16/04/2019,South Sudan,Ajuong Thok,Napata,Mathematics
16/04/2019,South Sudan,Ajuong Thok,Napata,Languages
22/04/2019,South Sudan,Ajuong Thok,Napata,Languages
23/04/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
23/04/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
23/04/2019,South Sudan,Ajuong Thok,Napata,Mathematics
24/04/2019,South Sudan,Ajuong Thok,Napata,Sciences
23/04/2019,South Sudan,Ajuong Thok,Napata,Languages
22/04/2019,South Sudan,Ajuong Thok,Napata,Sciences
22/04/2019,South Sudan,Ajuong Thok,Napata,Mathematics
10/04/2019,South Sudan,Ajuong Thok,Napata,Languages
02/04/2019,South Sudan,Ajuong Thok,Napata,Sciences
26/05/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
26/05/2019,South Sudan,Ajuong Thok,Napata,Sciences
07/03/2019,South Sudan,Ajuong Thok,Napata,Mathematics
27/05/2019,South Sudan,Ajuong Thok,Napata,Sciences
28/05/2019,South Sudan,Ajuong Thok,Napata,Sciences
27/05/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
28/05/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
28/05/2019,South Sudan,Ajuong Thok,Napata,Languages
29/05/2019,South Sudan,Ajuong Thok,Napata,Languages
29/05/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
29/05/2019,South Sudan,Ajuong Thok,Napata,Mathematics
30/05/2019,South Sudan,Ajuong Thok,Napata,Mathematics
02/06/2019,South Sudan,Ajuong Thok,Napata,Mathematics
02/06/2019,South Sudan,Ajuong Thok,Napata,Mathematics
02/06/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
30/05/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
30/05/2019,South Sudan,Ajuong Thok,Napata,Sciences
04/06/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
05/06/2019,South Sudan,Ajuong Thok,Napata,Sciences
05/06/2019,South Sudan,Ajuong Thok,Napata,Mathematics
05/06/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
06/06/2019,South Sudan,Ajuong Thok,Napata,Languages
06/06/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
06/06/2019,South Sudan,Ajuong Thok,Napata,Sciences
05/06/2019,South Sudan,Ajuong Thok,Napata,Languages
04/06/2019,South Sudan,Ajuong Thok,Napata,Languages
09/06/2019,South Sudan,Ajuong Thok,Napata,Sciences
09/06/2019,South Sudan,Ajuong Thok,Napata,Languages
09/06/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
10/06/2019,South Sudan,Ajuong Thok,Napata,Mathematics
10/06/2019,South Sudan,Ajuong Thok,Napata,Sciences
10/06/2019,South Sudan,Ajuong Thok,Napata,Mathematics
10/06/2019,South Sudan,Ajuong Thok,Napata,Mathematics
11/06/2019,South Sudan,Ajuong Thok,Napata,Mathematics
11/06/2019,South Sudan,Ajuong Thok,Napata,Sciences
11/06/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
12/06/2019,South Sudan,Ajuong Thok,Napata,Languages
13/06/2019,South Sudan,Ajuong Thok,Napata,Languages
13/06/2019,South Sudan,Ajuong Thok,Napata,Sciences
12/06/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
12/06/2019,South Sudan,Ajuong Thok,Napata,Languages
16/06/2019,South Sudan,Ajuong Thok,Napata,Languages
16/06/2019,South Sudan,Ajuong Thok,Napata,Sciences
17/06/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
17/06/2019,South Sudan,Ajuong Thok,Napata,Languages
17/06/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
18/06/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
18/06/2019,South Sudan,Ajuong Thok,Napata,Sciences
20/06/2019,South Sudan,Ajuong Thok,Napata,Languages
20/06/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
20/06/2019,South Sudan,Ajuong Thok,Napata,Mathematics
18/06/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
23/06/2019,South Sudan,Ajuong Thok,Napata,Mathematics
24/06/2019,South Sudan,Ajuong Thok,Napata,Languages
25/06/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
25/06/2019,South Sudan,Ajuong Thok,Napata,Sciences
26/06/2019,South Sudan,Ajuong Thok,Napata,Mathematics
27/06/2019,South Sudan,Ajuong Thok,Napata,Sciences
27/06/2019,South Sudan,Ajuong Thok,Napata,Languages
27/06/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
26/06/2019,South Sudan,Ajuong Thok,Napata,Sciences
26/06/2019,South Sudan,Ajuong Thok,Napata,Sciences
25/06/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
24/06/2019,South Sudan,Ajuong Thok,Napata,Mathematics
24/06/2019,South Sudan,Ajuong Thok,Napata,Sciences
23/06/2019,South Sudan,Ajuong Thok,Napata,Sciences
23/06/2019,South Sudan,Ajuong Thok,Napata,Languages
30/06/2019,South Sudan,Ajuong Thok,Napata,Mathematics
30/06/2019,South Sudan,Ajuong Thok,Napata,Languages
01/07/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
01/07/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
02/07/2019,South Sudan,Ajuong Thok,Napata,Sciences
02/07/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
02/07/2019,South Sudan,Ajuong Thok,Napata,Languages
03/07/2019,South Sudan,Ajuong Thok,Napata,Sciences
03/07/2019,South Sudan,Ajuong Thok,Napata,Mathematics
04/07/2019,South Sudan,Ajuong Thok,Napata,Mathematics
04/07/2019,South Sudan,Ajuong Thok,Napata,Languages
04/07/2019,South Sudan,Ajuong Thok,Napata,Sciences
09/07/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
10/07/2019,South Sudan,Ajuong Thok,Napata,Mathematics
11/07/2019,South Sudan,Ajuong Thok,Napata,Languages
11/07/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
14/07/2019,South Sudan,Ajuong Thok,Napata,Sciences
15/07/2019,South Sudan,Ajuong Thok,Napata,Mathematics
16/07/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
16/07/2019,South Sudan,Ajuong Thok,Napata,Sciences
17/07/2019,South Sudan,Ajuong Thok,Napata,Mathematics
24/07/2019,South Sudan,Ajuong Thok,Napata,Mathematics
25/07/2019,South Sudan,Ajuong Thok,Napata,Languages
31/07/2019,South Sudan,Ajuong Thok,Napata,Languages
31/07/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
04/08/2019,South Sudan,Ajuong Thok,Napata,Languages
05/08/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
07/08/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
08/08/2019,South Sudan,Ajuong Thok,Napata,Languages
08/08/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
13/08/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
13/08/2019,South Sudan,Ajuong Thok,Napata,Sciences
15/08/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
18/08/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
18/08/2019,South Sudan,Ajuong Thok,Napata,Mathematics
19/08/2019,South Sudan,Ajuong Thok,Napata,Vocational / Technical / Options
19/08/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
20/08/2019,South Sudan,Ajuong Thok,Napata,Languages
22/08/2019,South Sudan,Ajuong Thok,Napata,Languages
25/08/2019,South Sudan,Ajuong Thok,Napata,Mathematics
25/08/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
27/08/2019,South Sudan,Ajuong Thok,Napata,Sciences
27/08/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
18/09/2019,South Sudan,Ajuong Thok,Napata,Languages
19/09/2019,South Sudan,Ajuong Thok,Napata,Languages
22/09/2019,South Sudan,Ajuong Thok,Napata,Mathematics
22/09/2019,South Sudan,Ajuong Thok,Napata,Sciences
23/09/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
24/09/2019,South Sudan,Ajuong Thok,Napata,Languages
24/09/2019,South Sudan,Ajuong Thok,Napata,Languages
30/09/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
01/10/2019,South Sudan,Ajuong Thok,Napata,Sciences
02/10/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
03/10/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
03/10/2019,South Sudan,Ajuong Thok,Napata,Sciences
06/10/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
06/10/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
08/10/2019,South Sudan,Ajuong Thok,Napata,Languages
08/10/2019,South Sudan,Ajuong Thok,Napata,Sciences
09/10/2019,South Sudan,Ajuong Thok,Napata,Languages
10/10/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
10/10/2019,South Sudan,Ajuong Thok,Napata,Mathematics
14/10/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
14/10/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
16/10/2019,South Sudan,Ajuong Thok,Napata,Languages
17/10/2019,South Sudan,Ajuong Thok,Napata,Sciences
17/10/2019,South Sudan,Ajuong Thok,Napata,Sciences
20/10/2019,South Sudan,Ajuong Thok,Napata,Sciences
20/10/2019,South Sudan,Ajuong Thok,Napata,Languages
20/10/2019,South Sudan,Ajuong Thok,Napata,Sciences
21/10/2019,South Sudan,Ajuong Thok,Napata,Sciences
21/10/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
21/10/2019,South Sudan,Ajuong Thok,Napata,Languages
23/10/2019,South Sudan,Ajuong Thok,Napata,Sciences
23/10/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
23/10/2019,South Sudan,Ajuong Thok,Napata,Sciences
24/10/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
27/10/2019,South Sudan,Ajuong Thok,Napata,Sciences
27/10/2019,South Sudan,Ajuong Thok,Napata,Sciences
27/10/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
28/10/2019,South Sudan,Ajuong Thok,Napata,Sciences
28/10/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
28/10/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
29/10/2019,South Sudan,Ajuong Thok,Napata,Languages
29/10/2019,South Sudan,Ajuong Thok,Napata,Sciences
31/10/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
31/10/2019,South Sudan,Ajuong Thok,Napata,Sciences
03/11/2019,South Sudan,Ajuong Thok,Napata,Sciences
04/11/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
05/11/2019,South Sudan,Ajuong Thok,Napata,Sciences
06/11/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
07/11/2019,South Sudan,Ajuong Thok,Napata,Languages
11/11/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
11/11/2019,South Sudan,Ajuong Thok,Napata,Mathematics
12/11/2019,South Sudan,Ajuong Thok,Napata,Languages
13/11/2019,South Sudan,Ajuong Thok,Napata,Humanities / General Culture
13/11/2019,South Sudan,Ajuong Thok,Napata,Mathematics
05/02/2020,South Sudan,Ajuong Thok,Napata,Languages
05/02/2020,South Sudan,Ajuong Thok,Napata,Sciences
06/02/2020,South Sudan,Ajuong Thok,Napata,Languages
06/02/2020,South Sudan,Ajuong Thok,Napata,Languages
06/02/2020,South Sudan,Ajuong Thok,Napata,Languages
06/02/2020,South Sudan,Ajuong Thok,Napata,Sciences
09/02/2020,South Sudan,Ajuong Thok,Napata,Mathematics
10/02/2020,South Sudan,Ajuong Thok,Napata,Languages
10/02/2020,South Sudan,Ajuong Thok,Napata,Sciences
10/02/2020,South Sudan,Ajuong Thok,Napata,Languages
